name,type,significance,Coord A,Coord B,Coord C,Coord D
Gulf of Mannar Mine Hunting Exercise Zone,Coral Reef Mine Detection Area,Training in mine detection in sensitive marine environments,"[8.5, 78.0]","[8.5, 79.0]","[9.5, 79.0]","[9.5, 78.0]"
Sundarbans Delta Mine Warfare Training Sector,Riverine-Coastal Mine Operations Zone,Practice of mine warfare in complex delta environments,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Mumbai Harbor Approach Mine Defense Area,Major Port Mine Countermeasures Zone,Training in keeping vital commercial ports free from mine threats,"[18.5, 72.5]","[18.5, 73.0]","[19.0, 73.0]","[19.0, 72.5]"
Chilika Lake Mine Warfare Exercise Area,Coastal Lagoon Mine Operations Zone,"Practice of mine warfare in shallow, enclosed water bodies","[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Ten Degree Channel Mine Barrier Exercise Zone,Strategic Waterway Mine Defense Area,Training in the use of mines to control key maritime passages,"[9.0, 92.0]","[9.0, 93.0]","[10.0, 93.0]","[10.0, 92.0]"
Porbandar Coastal Mine Warfare Training Area,Shallow Water Mine Detection Zone,"Practice of mine countermeasures in sandy, shallow coastal waters","[21.5, 69.5]","[21.5, 70.0]","[22.0, 70.0]","[22.0, 69.5]"
Paradip Port Mine Defense Exercise Zone,Commercial Harbor Mine Clearing Area,Training in mine countermeasures for busy commercial ports,"[20.0, 86.5]","[20.0, 87.0]","[20.5, 87.0]","[20.5, 86.5]"
Lakshadweep Islands Mine Warfare Training Sector,Coral Atoll Mine Operations Zone,Practice of mine warfare in and around coral island formations,"[10.0, 72.0]","[10.0, 73.0]","[11.0, 73.0]","[11.0, 72.0]"
Goa Naval Area Mine Defense Training Zone,Coastal Naval Base Mine Protection Area,Exercises in defending naval facilities from sea-laid mines,"[15.0, 73.5]","[15.0, 74.0]","[15.5, 74.0]","[15.5, 73.5]"
Little Andaman Island Mine Warfare Exercise Area,Remote Island Mine Defense Zone,Training in mine warfare for protecting distant island territories,"[10.5, 92.0]","[10.5, 92.5]","[11.0, 92.5]","[11.0, 92.0]"
Dhamra Port Approach Mine Countermeasures Zone,Emerging Port Mine Defense Area,Practice of mine clearing operations for newly developed ports,"[20.5, 86.5]","[20.5, 87.0]","[21.0, 87.0]","[21.0, 86.5]"
Hooghly River Estuary Mine Warfare Training Area,Riverine Mine Operations Zone,Training in mine warfare in river mouths and estuaries,"[21.5, 87.5]","[21.5, 88.0]","[22.0, 88.0]","[22.0, 87.5]"
Minicoy Island Mine Defense Exercise Zone,Remote Strategic Island Mine Protection Area,"Practice of defending isolated, strategic islands from mine threats","[8.0, 73.0]","[8.0, 73.5]","[8.5, 73.5]","[8.5, 73.0]"
Kavatti Island Minefield Training Sector,Small Island Mine Barrier Exercise Area,"Training in using minefields to protect small, strategic islands","[10.5, 72.5]","[10.5, 73.0]","[11.0, 73.0]","[11.0, 72.5]"
Car Nicobar Mine Warfare Exercise Zone,Forward Base Mine Defense Area,Practice of mine warfare to protect forward naval and air bases,"[9.0, 92.5]","[9.0, 93.0]","[9.5, 93.0]","[9.5, 92.5]"
Kandla Port Mine Countermeasures Training Area,High-Traffic Port Mine Clearing Zone,Training in mine detection and clearing in busy port approaches,"[22.5, 69.5]","[22.5, 70.0]","[23.0, 70.0]","[23.0, 69.5]"
Arabian Sea Western Fleet Exercise Area,Naval Exercise Zone,Large-scale fleet maneuvers and war games,"[15.0, 66.0]","[15.0, 70.0]","[19.0, 70.0]","[19.0, 66.0]"
Lakshadweep Anti-Submarine Warfare Zone,ASW Operations Area,Submarine detection and tracking exercises,"[10.0, 71.0]","[10.0, 74.0]","[13.0, 74.0]","[13.0, 71.0]"
Strait of Hormuz Approach Surveillance Sector,Strategic Chokepoint Monitoring Zone,Intelligence gathering on oil tanker movements and naval activities,"[24.0, 57.0]","[24.0, 60.0]","[26.0, 60.0]","[26.0, 57.0]"
Bay of Bengal Carrier Battle Group Operations Area,Carrier Strike Group Exercise Zone,Aircraft carrier operations and multi-ship exercises,"[12.0, 85.0]","[12.0, 90.0]","[16.0, 90.0]","[16.0, 85.0]"
Andaman Sea Maritime Interdiction Zone,Naval Blockade Training Area,Exercises for intercepting and boarding suspect vessels,"[10.0, 92.0]","[10.0, 95.0]","[14.0, 95.0]","[14.0, 92.0]"
Gujarat Coast Fast Attack Craft Patrol Sector,Littoral Combat Zone,Rapid response and coastal defense operations,"[20.0, 68.0]","[20.0, 72.0]","[23.0, 72.0]","[23.0, 68.0]"
Malacca Strait Approach Surveillance Area,Long-Range Maritime Patrol Zone,Monitoring of critical shipping lane and naval movements,"[4.0, 92.0]","[4.0, 96.0]","[8.0, 96.0]","[8.0, 92.0]"
Eastern Seaboard Submarine Patrol Area,Submarine Operations Zone,Covert surveillance and deterrence patrols,"[13.0, 80.0]","[13.0, 85.0]","[18.0, 85.0]","[18.0, 80.0]"
Nicobar Islands Maritime Strike Exercise Zone,Air-Sea Integration Training Area,Joint naval aviation and surface fleet strike exercises,"[6.0, 92.0]","[6.0, 95.0]","[9.0, 95.0]","[9.0, 92.0]"
Mumbai High Offshore Asset Protection Zone,Critical Infrastructure Defense Area,Security exercises for oil platforms and underwater pipelines,"[19.0, 71.0]","[19.0, 72.5]","[20.5, 72.5]","[20.5, 71.0]"
Kochi Naval Base Amphibious Landing Exercise Area,Amphibious Warfare Training Zone,Practice for ship-to-shore troop movements and beach assaults,"[9.5, 75.5]","[9.5, 76.5]","[10.5, 76.5]","[10.5, 75.5]"
Karwar Advanced Technology Vessel Testing Range,Naval Nuclear Propulsion Test Area,Sea trials for nuclear submarines and related technologies,"[14.5, 73.5]","[14.5, 74.5]","[15.5, 74.5]","[15.5, 73.5]"
Andaman Sea Exclusive Economic Zone Patrol Sector,Maritime Sovereignty Enforcement Zone,Long-range patrols to assert EEZ rights and deter incursions,"[8.0, 91.0]","[8.0, 95.0]","[14.0, 95.0]","[14.0, 91.0]"
Visakhapatnam Fleet Air Defense Exercise Zone,Anti-Air Warfare Training Area,Integrated air defense exercises with ships and aircraft,"[16.0, 82.0]","[16.0, 85.0]","[18.0, 85.0]","[18.0, 82.0]"
Lakshadweep Sea Anti-Piracy Patrol Zone,Counter-Piracy Operations Area,Patrols and exercises to combat piracy and armed robbery at sea,"[8.0, 70.0]","[8.0, 75.0]","[12.0, 75.0]","[12.0, 70.0]"
Sundarbans Delta Maritime Infiltration Prevention Zone,Coastal Security Operations Area,Counter-terrorism and anti-smuggling patrols in complex terrain,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Goa Naval Aviation Training Sector,Maritime Patrol Aircraft Exercise Zone,Long-range maritime surveillance and ASW aircraft training,"[14.0, 72.0]","[14.0, 74.0]","[16.0, 74.0]","[16.0, 72.0]"
Port Blair Forward Operating Base Extension,Expeditionary Logistics Exercise Area,Practice for extended naval operations and logistics support,"[11.5, 92.0]","[11.5, 93.5]","[13.0, 93.5]","[13.0, 92.0]"
Kakinada Offshore Security Zone,Energy Infrastructure Defense Sector,Protection exercises for offshore gas fields and pipelines,"[16.5, 82.0]","[16.5, 83.0]","[17.5, 83.0]","[17.5, 82.0]"
Kanyakumari Peninsula Naval Blockade Exercise Area,Maritime Interdiction Operations Zone,Choke point control and sea denial exercises,"[7.5, 77.0]","[7.5, 78.5]","[9.0, 78.5]","[9.0, 77.0]"
Lakshadweep Islands Rapid Deployment Exercise Zone,Island Territory Defense Area,Quick reaction force deployment and island defense drills,"[10.0, 71.5]","[10.0, 74.0]","[12.5, 74.0]","[12.5, 71.5]"
Andaman Sea Underwater Surveillance Network,Submarine Detection Array,Testing and calibration of fixed underwater sensor systems,"[10.0, 91.5]","[10.0, 93.5]","[13.0, 93.5]","[13.0, 91.5]"
Gulf of Kutch Maritime Strike Testing Range,Anti-Ship Missile Exercise Area,Live-fire testing of ship and air-launched anti-ship missiles,"[22.0, 68.0]","[22.0, 70.0]","[23.5, 70.0]","[23.5, 68.0]"
Vizhinjam Deep Water Port Naval Facility,Forward Naval Base Development Zone,Integration exercises for new deep-water port capabilities,"[8.0, 76.5]","[8.0, 77.5]","[9.0, 77.5]","[9.0, 76.5]"
Chilika Lake Naval Air Station Operations Area,Amphibious Aircraft Training Zone,Exercises for seaplane and amphibious aircraft operations,"[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Karwar Nuclear Submarine Base Security Zone,Strategic Asset Protection Area,Multi-layered defense exercises for critical naval infrastructure,"[14.5, 74.0]","[14.5, 74.5]","[15.0, 74.5]","[15.0, 74.0]"
Porbandar-Okha Coastal Defense Battery Range,Shore-Based Anti-Ship Missile Test Area,Testing and training with land-based anti-ship missile systems,"[21.5, 69.0]","[21.5, 70.0]","[22.5, 70.0]","[22.5, 69.0]"
Andaman and Nicobar Joint Amphibious Warfare Zone,Tri-Service Amphibious Operations Area,Large-scale joint exercises for amphibious assault operations,"[11.0, 92.0]","[11.0, 93.5]","[13.5, 93.5]","[13.5, 92.0]"
Kochi Naval Base Underwater Demolition Range,Special Operations Training Area,Training for naval special forces in underwater demolitions,"[9.5, 75.5]","[9.5, 76.0]","[10.0, 76.0]","[10.0, 75.5]"
Paradip-Dhamra Integrated Fleet Air Defense Sector,Multi-Layer Air Defense Exercise Zone,Coordinated ship-based and land-based air defense drills,"[20.0, 86.0]","[20.0, 87.5]","[21.0, 87.5]","[21.0, 86.0]"
Sunda Strait Approach Surveillance Zone,Long-Range Maritime Patrol Area,Monitoring naval movements between Indian and Pacific Oceans,"[-7.0, 104.0]","[-7.0, 106.0]","[-5.0, 106.0]","[-5.0, 104.0]"
Lakshadweep Sea Carrier Strike Group Exercise Area,Carrier Battle Group Operations Zone,Large-scale carrier-based air operations and fleet maneuvers,"[10.0, 70.0]","[10.0, 74.0]","[14.0, 74.0]","[14.0, 70.0]"
Andaman Sea Submarine Command and Control Exercise Zone,Submarine Communications Testing Area,Testing secure communications with submerged submarines,"[9.0, 92.0]","[9.0, 94.0]","[12.0, 94.0]","[12.0, 92.0]"
Gujarat Coast Fast Intercept Craft Training Area,Coastal Defense Rapid Response Zone,High-speed interception and boarding operation drills,"[21.0, 69.0]","[21.0, 70.0]","[22.5, 70.0]","[22.5, 69.0]"
Bay of Bengal Anti-Submarine Warfare Exercise Zone,ASW Training Area,Multi-national ASW exercises and submarine hunt drills,"[13.0, 85.0]","[13.0, 88.0]","[16.0, 88.0]","[16.0, 85.0]"
Nicobar Islands Maritime Interdiction Operations Zone,Naval Blockade Exercise Area,Practice of sea denial and maritime interdiction operations,"[6.5, 92.5]","[6.5, 94.5]","[9.0, 94.5]","[9.0, 92.5]"
Vizag Fleet Underway Replenishment Exercise Area,Logistics and Sustainment Operations Zone,Practice of at-sea refueling and resupply operations,"[16.0, 83.0]","[16.0, 85.0]","[18.0, 85.0]","[18.0, 83.0]"
Kochi Naval Base Mine Warfare Training Zone,Mine Laying and Sweeping Exercise Area,"Training in mine deployment, detection, and neutralization","[9.5, 75.0]","[9.5, 76.0]","[10.5, 76.0]","[10.5, 75.0]"
Andaman Sea Exclusive Economic Zone Patrol Sector,Maritime Sovereignty Enforcement Zone,Long-range patrols to assert EEZ rights and deter incursions,"[8.0, 91.0]","[8.0, 95.0]","[14.0, 95.0]","[14.0, 91.0]"
Arabian Sea Theater Anti-Submarine Warfare Zone,Large-Scale ASW Exercise Area,Coordinated submarine hunting operations with allied navies,"[15.0, 65.0]","[15.0, 70.0]","[20.0, 70.0]","[20.0, 65.0]"
Karwar Advanced Submarine Training Range,Submarine Tactics Development Zone,Testing of new submarine tactics and stealth technologies,"[14.0, 73.0]","[14.0, 74.0]","[15.0, 74.0]","[15.0, 73.0]"
Lakshadweep Islands Rapid Reaction Force Deployment Zone,Quick Response Exercise Area,Practice of rapid military response to island territory threats,"[10.0, 71.5]","[10.0, 74.0]","[12.5, 74.0]","[12.5, 71.5]"
Chennai Offshore Security and Interdiction Zone,Maritime Security Operations Area,Drills for protecting offshore assets and intercepting threats,"[12.5, 80.0]","[12.5, 81.5]","[14.0, 81.5]","[14.0, 80.0]"
Goa Naval Aviation Night Operations Training Sector,Nocturnal Maritime Patrol Exercise Zone,Night-time aerial surveillance and ASW aircraft training,"[14.5, 72.5]","[14.5, 74.0]","[16.0, 74.0]","[16.0, 72.5]"
Sundarbans Delta Special Operations Training Area,Riverine and Coastal Warfare Exercise Zone,Training for special forces in complex coastal environments,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Andaman Sea Amphibious Assault Training Zone,Joint Amphibious Warfare Exercise Area,Large-scale beach landing and island capture simulations,"[11.5, 92.5]","[11.5, 93.5]","[13.0, 93.5]","[13.0, 92.5]"
Kanyakumari Peninsula Naval Air Defense Zone,Integrated Air Defense Exercise Area,Coordinated ship-based and land-based air defense drills,"[7.5, 77.0]","[7.5, 78.5]","[9.0, 78.5]","[9.0, 77.0]"
Mumbai High Offshore Asset Defense Sector,Critical Infrastructure Protection Zone,Drills for defending offshore oil and gas installations,"[19.0, 71.0]","[19.0, 72.5]","[20.5, 72.5]","[20.5, 71.0]"
Lakshadweep Sea Anti-Ship Missile Test Range,Naval Weapon Systems Evaluation Area,Live-fire testing of ship-launched anti-ship missiles,"[10.0, 70.0]","[10.0, 72.0]","[12.0, 72.0]","[12.0, 70.0]"
Visakhapatnam Submarine Launched Ballistic Missile Test Zone,Strategic Weapons Test Area,Testing and evaluation of submarine-launched ballistic missiles,"[16.0, 82.0]","[16.0, 85.0]","[18.0, 85.0]","[18.0, 82.0]"
Gulf of Mannar Maritime Border Patrol Sector,Coastal Security Operations Area,Joint patrols and exercises with Sri Lankan Navy,"[8.5, 78.0]","[8.5, 79.5]","[9.5, 79.5]","[9.5, 78.0]"
Andaman Sea Underwater Sensor Array Testing Zone,ASW Technology Evaluation Area,Development and testing of fixed underwater detection systems,"[10.0, 92.0]","[10.0, 93.5]","[12.0, 93.5]","[12.0, 92.0]"
Kakinada Deep Water Port Naval Exercise Area,Multi-Mission Naval Training Zone,Diverse naval exercises utilizing deep water port facilities,"[16.5, 82.0]","[16.5, 83.0]","[17.5, 83.0]","[17.5, 82.0]"
Karwar Nuclear Submarine Base Security Zone,Strategic Asset Protection Area,Multi-layered defense exercises for critical naval infrastructure,"[14.5, 74.0]","[14.5, 74.5]","[15.0, 74.5]","[15.0, 74.0]"
Chilika Lake Naval Air Station Operations Area,Maritime Patrol Aircraft Training Zone,Anti-submarine warfare and maritime surveillance flight training,"[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Kochi Naval Base Underwater Demolition Range,Special Operations Training Area,Training for naval special forces in underwater demolitions,"[9.5, 75.5]","[9.5, 76.0]","[10.0, 76.0]","[10.0, 75.5]"
Porbandar-Okha Coastal Defense Battery Range,Shore-Based Anti-Ship Missile Test Area,Testing and training with land-based anti-ship missile systems,"[21.5, 69.0]","[21.5, 70.0]","[22.5, 70.0]","[22.5, 69.0]"
Andaman and Nicobar Joint Amphibious Warfare Zone,Tri-Service Amphibious Operations Area,Large-scale joint exercises for amphibious assault operations,"[11.0, 92.0]","[11.0, 93.5]","[13.5, 93.5]","[13.5, 92.0]"
Lakshadweep Sea Extended Anti-Piracy Patrol Zone,Far Sea Counter-Piracy Area,Long-range patrols to combat piracy in western Arabian Sea,"[8.0, 68.0]","[8.0, 72.0]","[12.0, 72.0]","[12.0, 68.0]"
Bay of Bengal Ballistic Missile Defense Test Range,Strategic Defense Systems Evaluation Zone,Testing of ship-based and land-based BMD systems,"[15.0, 85.0]","[15.0, 88.0]","[18.0, 88.0]","[18.0, 85.0]"
Goa Naval Aviation Night Operations Training Sector,Nocturnal Maritime Patrol Exercise Zone,Night-time aerial surveillance and ASW aircraft training,"[14.5, 72.5]","[14.5, 74.0]","[16.0, 74.0]","[16.0, 72.5]"
Paradip-Dhamra Integrated Fleet Air Defense Sector,Multi-Layer Air Defense Exercise Zone,Coordinated ship-based and land-based air defense drills,"[20.0, 86.0]","[20.0, 87.5]","[21.0, 87.5]","[21.0, 86.0]"
Kalpakkam Nuclear Facility Maritime Security Zone,Critical Infrastructure Protection Area,Naval security exercises for coastal nuclear installations,"[12.3, 80.0]","[12.3, 80.3]","[12.6, 80.3]","[12.6, 80.0]"
Andaman Sea Extended Maritime Patrol Zone,Long-Range Surveillance Area,Extended endurance patrols for maritime domain awareness,"[6.0, 91.0]","[6.0, 95.0]","[10.0, 95.0]","[10.0, 91.0]"
Gujarat Coast Fast Attack Craft Training Area,Littoral Combat Exercise Zone,High-speed intercept and close-quarters combat drills,"[21.0, 69.0]","[21.0, 70.0]","[22.5, 70.0]","[22.5, 69.0]"
Trincomalee Approach Monitoring Zone,Strategic Observation Area,Surveillance of naval activities near Sri Lankan waters,"[8.0, 81.0]","[8.0, 82.5]","[9.5, 82.5]","[9.5, 81.0]"
Visakhapatnam Submarine Rescue Exercise Area,Deep Submergence Rescue Vehicle (DSRV) Operations Zone,Training and readiness drills for submarine rescue scenarios,"[17.0, 83.0]","[17.0, 84.0]","[18.0, 84.0]","[18.0, 83.0]"
Lakshadweep Islands Maritime Interdiction Zone,Naval Blockade Simulation Area,Exercises in enforcing maritime exclusion zones,"[10.0, 71.5]","[10.0, 74.0]","[12.5, 74.0]","[12.5, 71.5]"
Sundarbans Delta Riverine Warfare Training Area,Shallow Water Combat Zone,Specialized training for operations in complex delta environments,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Karwar Advanced Technology Vessel (ATV) Testing Range,Nuclear Submarine Trial Area,Sea trials and testing of indigenous nuclear submarines,"[14.5, 73.5]","[14.5, 74.5]","[15.5, 74.5]","[15.5, 73.5]"
Kochi Naval Base Mine Countermeasures Exercise Area,Mine Warfare Training Zone,"Training in detection, sweeping, and neutralization of naval mines","[9.5, 75.5]","[9.5, 76.5]","[10.5, 76.5]","[10.5, 75.5]"
Car Nicobar Air Base Maritime Strike Exercise Zone,Air-to-Surface Attack Training Area,Practice of air-launched anti-ship missile strikes,"[8.0, 92.0]","[8.0, 94.0]","[10.0, 94.0]","[10.0, 92.0]"
Kakinada Offshore Security Zone,Energy Infrastructure Defense Sector,Protection exercises for offshore gas fields and pipelines,"[16.5, 82.0]","[16.5, 83.0]","[17.5, 83.0]","[17.5, 82.0]"
Mumbai Harbor Underwater Defense System Testing Area,Port Security Technology Evaluation Zone,Trials of advanced underwater surveillance and defense systems,"[18.8, 72.8]","[18.8, 73.0]","[19.0, 73.0]","[19.0, 72.8]"
Andaman Sea Exclusive Economic Zone Enforcement Area,Maritime Law Enforcement Training Zone,Exercises in asserting sovereignty and enforcing maritime law,"[10.0, 91.0]","[10.0, 95.0]","[14.0, 95.0]","[14.0, 91.0]"
Porbandar Forward Operating Base Extension,Rapid Deployment Exercise Area,Drills for quick response to Arabian Sea contingencies,"[21.5, 69.0]","[21.5, 70.0]","[22.5, 70.0]","[22.5, 69.0]"
Lakshadweep Sea Carrier Strike Group Maneuver Zone,Large-Scale Naval Formation Exercise Area,Complex battle group tactics and coordination drills,"[10.0, 70.0]","[10.0, 74.0]","[14.0, 74.0]","[14.0, 70.0]"
Visakhapatnam Advanced Submarine Warfare Training Area,Submarine Tactics Development Zone,Testing of cutting-edge submarine combat strategies,"[16.0, 82.0]","[16.0, 84.0]","[18.0, 84.0]","[18.0, 82.0]"
Gulf of Khambhat Maritime Choke Point Defense Zone,Strategic Waterway Control Exercise Area,Drills for controlling and defending narrow sea passages,"[21.0, 72.0]","[21.0, 72.5]","[22.0, 72.5]","[22.0, 72.0]"
Andaman Sea Underwater Surveillance Network,ASW Sensor Array Testing Zone,Evaluation of fixed and mobile underwater detection systems,"[11.0, 92.0]","[11.0, 94.0]","[13.0, 94.0]","[13.0, 92.0]"
Chennai Offshore Security and Interdiction Zone,Maritime Security Operations Area,Drills for protecting offshore assets and intercepting threats,"[12.5, 80.0]","[12.5, 81.5]","[14.0, 81.5]","[14.0, 80.0]"
Karwar Nuclear Submarine Base Deep Water Training Area,Submarine Deep Dive Exercise Zone,Extreme depth operations and emergency procedure drills,"[14.0, 73.0]","[14.0, 74.0]","[15.0, 74.0]","[15.0, 73.0]"
Kochi Naval Air Station Anti-Submarine Warfare Zone,Maritime Patrol Aircraft ASW Training Area,Coordination exercises between aircraft and surface ships for ASW,"[9.0, 75.0]","[9.0, 76.5]","[10.5, 76.5]","[10.5, 75.0]"
Kavaratti Island Maritime Domain Awareness Center,Long-Range Surveillance Hub,Integrated sensor data analysis and threat assessment exercises,"[10.0, 71.5]","[10.0, 73.0]","[11.0, 73.0]","[11.0, 71.5]"
Gulf of Mannar Special Operations Training Zone,Clandestine Warfare Exercise Area,Naval special forces infiltration and exfiltration drills,"[8.5, 78.0]","[8.5, 79.5]","[9.5, 79.5]","[9.5, 78.0]"
Paradip Port Approach Defense Sector,Harbor Protection Exercise Zone,Multi-layer defense drills for critical port infrastructure,"[19.5, 86.0]","[19.5, 87.0]","[20.5, 87.0]","[20.5, 86.0]"
Little Andaman Island Forward Operating Base,Remote Island Defense Exercise Area,Long-range patrol and island territory protection drills,"[10.0, 92.0]","[10.0, 93.0]","[11.0, 93.0]","[11.0, 92.0]"
Dwarka-Okha Coastal Artillery Range,Shore-Based Naval Gun Exercise Area,Live-fire training for coastal defense artillery systems,"[22.0, 68.5]","[22.0, 69.5]","[23.0, 69.5]","[23.0, 68.5]"
Hooghly River Estuary Naval Patrol Sector,Riverine and Coastal Security Zone,Joint navy-coast guard patrols and anti-infiltration exercises,"[21.5, 87.5]","[21.5, 88.5]","[22.5, 88.5]","[22.5, 87.5]"
Minicoy Island Maritime Surveillance Outpost,Remote Sensing and Early Warning Station,Long-range radar and ELINT training exercises,"[8.0, 72.5]","[8.0, 73.5]","[9.0, 73.5]","[9.0, 72.5]"
Kalpeni-Androth Islands Maritime Patrol Corridor,Inter-Island Security Zone,Fast patrol vessel operations and island hopping exercises,"[10.0, 73.5]","[10.0, 74.5]","[11.0, 74.5]","[11.0, 73.5]"
Karwar Underwater Stealth Technology Testing Range,Acoustic Signature Reduction Zone,Evaluation of submarine and surface ship noise reduction technologies,"[14.5, 73.5]","[14.5, 74.5]","[15.5, 74.5]","[15.5, 73.5]"
Chilika Lake Amphibious Aircraft Operations Area,Seaplane and Flying Boat Exercise Zone,Training for maritime patrol and search-and-rescue seaplanes,"[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Kachchh Peninsula Coastal Radar Network,Integrated Coastal Surveillance System,Exercises in coordinating multiple radar stations for maritime awareness,"[22.5, 68.5]","[22.5, 70.5]","[24.0, 70.5]","[24.0, 68.5]"
Vizhinjam Deep Water Port Naval Facility,Advanced Naval Base Exercise Area,Integration drills for new deep-water port capabilities,"[8.0, 76.5]","[8.0, 77.5]","[9.0, 77.5]","[9.0, 76.5]"
Sunderban Delta Riverine Warfare School,Shallow Water Combat Training Zone,Specialized training for naval commandos in mangrove environments,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Port Blair Joint Operations Command Center,Tri-Service Coordination Exercise Zone,"Integrated exercises for navy, air force, and army in Andaman & Nicobar","[11.5, 92.5]","[11.5, 93.0]","[12.0, 93.0]","[12.0, 92.5]"
Lakshadweep Sea Anti-Satellite Weapon Test Range,Strategic Weapons Evaluation Area,Testing of ship-based anti-satellite missile systems,"[10.0, 70.0]","[10.0, 74.0]","[14.0, 74.0]","[14.0, 70.0]"
Andaman Sea Underwater Cave Operations Zone,Special Forces Covert Training Area,Exercises for naval commandos in underwater cave systems,"[12.0, 93.0]","[12.0, 93.5]","[12.5, 93.5]","[12.5, 93.0]"
INS Kadamba Extended Maritime Security Zone,Strategic Naval Base Defense Sector,Multi-layer defense exercises for India's largest naval base,"[14.5, 74.0]","[14.5, 74.5]","[15.0, 74.5]","[15.0, 74.0]"
Andaman Islands Covert Insertion Training Zone,Island Infiltration Exercise Area,Practice of clandestine insertion techniques in tropical island environments,"[12.0, 92.5]","[12.0, 93.0]","[13.0, 93.0]","[13.0, 92.5]"
Lakshadweep Sea Special Reconnaissance Sector,Maritime Intelligence Gathering Exercise Zone,Training in covert observation and data collection in archipelagic waters,"[10.0, 72.0]","[10.0, 73.0]","[11.0, 73.0]","[11.0, 72.0]"
Gujarat Coast Underwater Demolition Range,Subsurface Special Operations Training Area,Exercises in underwater demolitions and covert maritime sabotage,"[21.0, 69.0]","[21.0, 70.0]","[22.0, 70.0]","[22.0, 69.0]"
Visakhapatnam Advanced SEAL Training Facility,Multi-Environment Special Ops Exercise Zone,Comprehensive training for naval special forces in various maritime scenarios,"[17.0, 83.0]","[17.0, 83.5]","[17.5, 83.5]","[17.5, 83.0]"
Sundarbans Delta Riverine Operations Area,Complex Waterway Infiltration Zone,Training in special operations within intricate river and mangrove systems,"[21.5, 88.5]","[21.5, 89.0]","[22.0, 89.0]","[22.0, 88.5]"
Karwar Underwater Special Operations Complex,Advanced Subsurface Training Facility,Specialized training in submarine-based special operations and lock-out techniques,"[14.5, 74.0]","[14.5, 74.5]","[15.0, 74.5]","[15.0, 74.0]"
Port Blair Maritime Counter-Terrorism Center,Anti-Piracy and Counter-Terror Training Zone,"Exercises in vessel boarding, hostage rescue, and maritime counter-terrorism","[11.5, 92.5]","[11.5, 93.0]","[12.0, 93.0]","[12.0, 92.5]"
Kochi Special Boat Unit Training Area,High-Speed Tactical Boat Operations Zone,Training in rapid deployment and extraction using specialized watercraft,"[9.5, 76.0]","[9.5, 76.5]","[10.0, 76.5]","[10.0, 76.0]"
Car Nicobar Island Airborne Insertion Zone,Parachute and HALO Jump Training Area,Practice of airborne insertion techniques for maritime special operations,"[9.0, 92.5]","[9.0, 93.0]","[9.5, 93.0]","[9.5, 92.5]"
Chilika Lake Amphibious Recon Training Sector,Coastal Wetland Special Ops Exercise Area,Training in amphibious reconnaissance in diverse coastal environments,"[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Minicoy Island Maritime Asset Recovery Zone,Underwater Salvage Operations Training Area,Exercises in covert recovery of sensitive equipment from the seabed,"[8.0, 73.0]","[8.0, 73.5]","[8.5, 73.5]","[8.5, 73.0]"
Kakinada Offshore Platform Security Training Area,Critical Infrastructure Defense Exercise Zone,Special ops training for protection and recapture of offshore installations,"[16.5, 82.5]","[16.5, 83.0]","[17.0, 83.0]","[17.0, 82.5]"
Lakshadweep Sea Submarine Special Ops Zone,Submerged Launch and Recovery Exercise Area,Training in special operations launched from submarines,"[11.0, 71.0]","[11.0, 72.0]","[12.0, 72.0]","[12.0, 71.0]"
Gulf of Kutch Maritime Sabotage Training Range,Covert Maritime Interdiction Exercise Area,Practice of clandestine ship disabling and boarding techniques,"[22.5, 69.0]","[22.5, 70.0]","[23.5, 70.0]","[23.5, 69.0]"
Little Andaman Island Jungle Warfare Training Zone,Tropical Forest Special Ops Exercise Area,Training in special operations combining maritime and jungle warfare,"[10.5, 92.0]","[10.5, 92.5]","[11.0, 92.5]","[11.0, 92.0]"
Goa Advanced Combat Diver Training Facility,Underwater Combat Skills Development Zone,Specialized training in advanced diving and underwater combat techniques,"[15.0, 73.5]","[15.0, 74.0]","[15.5, 74.0]","[15.5, 73.5]"
Paradip Port Underwater Obstacle Course,Maritime Special Forces Endurance Training Area,Advanced physical and skill training for naval special operations personnel,"[20.0, 86.5]","[20.0, 87.0]","[20.5, 87.0]","[20.5, 86.5]"
Andaman Sea Deep Water Insertion Training Zone,Extreme Depth Special Operations Exercise Area,Training in ultra-deep water insertion and extraction techniques,"[10.0, 91.0]","[10.0, 92.0]","[11.0, 92.0]","[11.0, 91.0]"
